cohort,scope,history_items,users,events,recall_at_10,ndcg_at_10,mrr_at_10,catalog_coverage,recall_ci_95_low,recall_ci_95_high
real_cold_items,real test cohort,,69,69,0.057971014492753624,0.04139430705953655,0.036231884057971016,0.022957988442917382,0.022772020303367495,0.13979442524423166
simulated_new_user,natural eligible cohort,1,94762,94762,0.03289293176589772,0.01779652677844007,0.013204865288242591,0.9542401999062939,,
simulated_new_user,natural eligible cohort,3,94762,94762,0.032470821637365185,0.016912680275708407,0.012227207141835368,0.915313134468218,,
simulated_new_user,natural eligible cohort,5,64311,64311,0.029746077653900575,0.015719647632992415,0.011481021168710677,0.8233250039044198,,
simulated_new_user,controlled common cohort,1,64311,64311,0.03259162507191616,0.017577720095873745,0.013009531065928883,0.9405356863970014,,
simulated_new_user,controlled common cohort,3,64311,64311,0.032094043009749496,0.01666200219742515,0.01201356478797352,0.8911057316882711,,
simulated_new_user,controlled common cohort,5,64311,64311,0.029746077653900575,0.015719647632992415,0.011481021168710677,0.8233250039044198,,
