concurrency,requests,k,p50_ms,p95_ms,p99_ms,mean_ms,maximum_ms,requests_per_second,wall_seconds
1,500,10,46.3137015,49.782844399999995,54.17331303999999,46.462307679999995,76.69527,21.491664166881158,23.264834036002867
8,500,10,757.3042820000001,813.65796515,842.6290158099999,758.121540268,921.502466,10.528872361935875,47.48846626801242
